candidate_item_id,candidate_title,candidate_asking_price,effective_slab_key,candidate_type,query_tier,search_query,year,subject,manufacturer,set_name,card_number,parallel,serial_number,print_run,psa_grade,qualifier,autograph_status,autograph_grade,fields_that_must_match,fields_that_must_not_be_relaxed,notes
v1|298544784209|0,2023 PANINI PRIZM UFC RED PRIZM #200 HASBULLA MAGOMEDOV 22/199 PSA 9,550.0,2d898c4a99f1ff3e,modern_numbered,STRICT,2023 HASBULLA MAGOMEDOV PANINI PRIZM UFC #200 RED PRIZM /199 PSA 9,2023,HASBULLA MAGOMEDOV,PANINI,PRIZM UFC,200,RED PRIZM,22,199,9,,no,,subject|year|card_number|psa_grade|parallel|autograph_status|print_run,card_number|psa_grade|print_run|parallel,narrowest search; expect few but exact results
v1|298544784209|0,2023 PANINI PRIZM UFC RED PRIZM #200 HASBULLA MAGOMEDOV 22/199 PSA 9,550.0,2d898c4a99f1ff3e,modern_numbered,NORMAL,2023 HASBULLA MAGOMEDOV #200 RED PRIZM PSA 9,2023,HASBULLA MAGOMEDOV,PANINI,PRIZM UFC,200,RED PRIZM,22,199,9,,no,,subject|year|card_number|psa_grade|parallel|autograph_status|print_run,card_number|psa_grade|print_run|parallel,"drops manufacturer/set wording, keeps every material identity field"
v1|298544831895|0,2018 PANINI PRIZM SILVER PRIZM #279 DEANDRE AYTON PSA 10,225.0,9f38530256d7b190,modern_parallel,STRICT,2018 DEANDRE AYTON PANINI PRIZM #279 SILVER PRIZM PSA 10,2018,DEANDRE AYTON,PANINI,PRIZM,279,SILVER PRIZM,,,10,,no,,subject|year|card_number|psa_grade|parallel|autograph_status,card_number|psa_grade|parallel,narrowest search; expect few but exact results
v1|298544831895|0,2018 PANINI PRIZM SILVER PRIZM #279 DEANDRE AYTON PSA 10,225.0,9f38530256d7b190,modern_parallel,NORMAL,2018 DEANDRE AYTON #279 SILVER PRIZM PSA 10,2018,DEANDRE AYTON,PANINI,PRIZM,279,SILVER PRIZM,,,10,,no,,subject|year|card_number|psa_grade|parallel|autograph_status,card_number|psa_grade|parallel,"drops manufacturer/set wording, keeps every material identity field"
v1|307073949024|0,1989 UD STAR ROOKIE #1 KEN GRIFFEY JR. ROOKIE RC PSA 7,495.0,5a3c12a14211321a,vintage,STRICT,1989 KEN GRIFFEY JR UPPER DECK #1 STAR ROOKIE PSA 7,1989,KEN GRIFFEY JR,UPPER DECK,BASE,1,STAR ROOKIE,,,7,,no,,subject|year|card_number|psa_grade|parallel|autograph_status,card_number|psa_grade|parallel,narrowest search; expect few but exact results
v1|307073949024|0,1989 UD STAR ROOKIE #1 KEN GRIFFEY JR. ROOKIE RC PSA 7,495.0,5a3c12a14211321a,vintage,NORMAL,1989 KEN GRIFFEY JR #1 STAR ROOKIE PSA 7,1989,KEN GRIFFEY JR,UPPER DECK,BASE,1,STAR ROOKIE,,,7,,no,,subject|year|card_number|psa_grade|parallel|autograph_status,card_number|psa_grade|parallel,"drops manufacturer/set wording, keeps every material identity field"
v1|297711604305|0,2024 CONTENDERS AUTO #106 JOE MILTON III PSA 10,499.99,2bc5369f635698ad,autograph,STRICT,2024 JOE MILTON III PANINI CONTENDERS #106 AUTOGRAPH auto PSA 10,2024,JOE MILTON III,PANINI,CONTENDERS,106,AUTOGRAPH,,,10,,yes,,subject|year|card_number|psa_grade|parallel|autograph_status,card_number|psa_grade|parallel|autograph_status,narrowest search; expect few but exact results
v1|297711604305|0,2024 CONTENDERS AUTO #106 JOE MILTON III PSA 10,499.99,2bc5369f635698ad,autograph,NORMAL,2024 JOE MILTON III #106 AUTOGRAPH auto PSA 10,2024,JOE MILTON III,PANINI,CONTENDERS,106,AUTOGRAPH,,,10,,yes,,subject|year|card_number|psa_grade|parallel|autograph_status,card_number|psa_grade|parallel|autograph_status,"drops manufacturer/set wording, keeps every material identity field"
v1|117330553310|0,1991 HOOPS #536 MICHAEL JORDAN PSA 8,423.0,3613ce3aafd404c0,base,STRICT,1991 MICHAEL JORDAN HOOPS #536 PSA 8,1991,MICHAEL JORDAN,HOOPS,BASE,536,,,,8,,no,,subject|year|card_number|psa_grade|parallel|autograph_status,card_number|psa_grade,narrowest search; expect few but exact results
v1|117330553310|0,1991 HOOPS #536 MICHAEL JORDAN PSA 8,423.0,3613ce3aafd404c0,base,NORMAL,1991 MICHAEL JORDAN #536 PSA 8,1991,MICHAEL JORDAN,HOOPS,BASE,536,,,,8,,no,,subject|year|card_number|psa_grade|parallel|autograph_status,card_number|psa_grade,"drops manufacturer/set wording, keeps every material identity field"
